구분,차종,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년
경부선,소형차,282080550,296337710,302465397,286335014,288845120,310682229,316973513,347710555,367155220,380972331,401370337,410129945,416623649,422890718
경부선,중형차,21894337,22237600,20936472,17304058,15958063,18084385,17577002,16861674,16639976,15814495,15484407,14430249,13965600,13581069
경부선,대형차,32114390,30971805,32784108,32257943,32992693,42710515,45333316,48997076,52149196,53726080,55940016,55570723,56966740,57515026
남해선,소형차,92263175,93271759,92310721,87591825,87798323,86964105,84048975,96738947,102900094,107968110,124528209,131205513,138094159,146530391
남해선,중형차,6930315,6629755,5959321,5124231,4472055,4531232,4259167,4076366,4007553,3843905,4152264,3960431,3980953,4103679
남해선,대형차,11476431,10389238,9931238,9847443,9852526,12132098,12611976,13262701,14373926,15149935,17064094,17871186,19921053,21329068
광주대구선,소형차,11890580,11458585,12516325,13055214,14007807,15173925,15977230,21654538,22541048,18916382,20560403,23753869,26483821,27140993
광주대구선,중형차,902306,860685,871945,839110,816209,929189,951503,999269,958808,787966,792586,797641,801614,799902
광주대구선,대형차,1252514,1225431,1349125,1376067,1441624,2012010,2298345,3125207,3078745,2583018,2854822,3164241,3506562,3481264
고창담양선,소형차,,75946,1755520,5195559,7007668,8437525,7972348,8825907,9925536,10683242,11797987,15821390,19303361,23278219
고창담양선,중형차,,6353,125704,320073,374708,467623,456116,442473,461104,473259,494579,590994,630560,738349
고창담양선,대형차,,17041,349481,820955,1039512,1639487,1505045,1664025,1880314,1954938,2090626,2888947,3511854,3876427
서해안선,소형차,85142155,84540391,87374326,88605125,94008494,101148072,101885045,110491485,112333886,116512513,122833169,138200920,137331534,138633612
서해안선,중형차,7355917,7020987,6673530,5898737,5485568,6167820,5981505,5621167,4988878,4711709,4652870,4893679,4334430,4204565
서해안선,대형차,8262965,7949468,8838592,9320780,10260527,13955667,15046643,15893398,14675455,14946600,16065154,20667683,20010574,20340647
울산선,소형차,10820612,11452025,12276297,11987801,13290114,14756765,14609327,14023899,14370977,14711881,15592838,17281539,19288686,23156867
울산선,중형차,1047178,1041814,1037897,870820,788365,916132,907670,796385,747710,690586,647825,595624,582652,632215
울산선,대형차,2648306,2393322,2469451,2456969,2556928,3193408,3348608,3748155,3861641,3903828,4081080,4315222,4802653,4790148
평택화성선,소형차,,,,,119452,1393988,1971270,2690110,2193622,2023228,2040319,2124202,2588399,2781113
평택화성선,중형차,,,,,9720,97865,125172,146895,134669,113791,109229,103878,115571,113867
평택화성선,대형차,,,,,37962,332426,411879,526966,493690,473714,515522,547653,658716,674918
새만금포항선(지선 포함),소형차,9819949,10043621,13530151,17930570,19694105,21700623,24717230,28369191,30141738,31950768,34464339,36344988,36684947,36840259
새만금포항선(지선 포함),중형차,542939,539401,683537,951544,918353,1061825,1153961,1132931,1109165,1058137,1050017,1029221,965444,963656
새만금포항선(지선 포함),대형차,896584,718079,858506,1624897,1706178,2408488,3294612,3884088,4041565,4134712,4285922,4705040,4958887,5166141
호남선,소형차,53158470,53212394,57624335,56924895,64810793,74917717,79261979,87059959,92061977,96575185,103156284,109159618,111064060,114681044
호남선,중형차,4993792,4696739,4604409,3838216,3801523,4472717,4334643,4037328,4082595,3483986,3362860,3275364,3083085,3080022
호남선,대형차,8603936,8081926,8784376,8873766,10088179,13737045,14770542,16708790,18034713,17340158,18137246,19197274,19748749,20762702
당진영덕선,소형차,,,651869,7797923,22825103,37444627,40222802,44887185,48583333,52105033,57161589,60517812,72444163,75551992
당진영덕선,중형차,,,73382,677778,1365279,2241708,2217745,2079192,1958069,1852579,1814250,1747239,1911015,1924812
당진영덕선,대형차,,,141519,1614618,3888923,7818633,8655682,9803486,10170509,10545126,11150156,11899512,13877045,14661055
옥산오창선,소형차,,,,,,,,,,,,,,1114903
옥산오창선,중형차,,,,,,,,,,,,,,40841
옥산오창선,대형차,,,,,,,,,,,,,,259221
중부선,소형차,93303137,99977113,102171064,102306356,106289313,108536749,107616703,114342930,123050965,128016043,134968286,128539496,135367741,137304519
