,METER_DATE,YEAR,MONTH,DAY,code_day_of_the_week,day_of_the_week,HOUR,MINUTE
0,2022-09-20 20:20:00,2022,9,20,1,Tuesday,20,20
1,2022-09-20 21:20:00,2022,9,20,1,Tuesday,21,20
2,2022-09-20 22:20:00,2022,9,20,1,Tuesday,22,20
3,2022-09-20 23:20:00,2022,9,20,1,Tuesday,23,20
4,2022-09-21 00:20:00,2022,9,21,2,Wednesday,0,20
5,2022-09-21 01:20:00,2022,9,21,2,Wednesday,1,20
6,2022-09-21 02:20:00,2022,9,21,2,Wednesday,2,20
7,2022-09-21 03:20:00,2022,9,21,2,Wednesday,3,20
8,2022-09-21 04:20:00,2022,9,21,2,Wednesday,4,20
9,2022-09-21 05:20:00,2022,9,21,2,Wednesday,5,20
10,2022-09-21 06:20:00,2022,9,21,2,Wednesday,6,20
11,2022-09-21 07:20:00,2022,9,21,2,Wednesday,7,20
12,2022-09-21 08:20:00,2022,9,21,2,Wednesday,8,20
13,2022-09-21 09:20:00,2022,9,21,2,Wednesday,9,20
14,2022-09-21 10:20:00,2022,9,21,2,Wednesday,10,20
15,2022-09-21 11:20:00,2022,9,21,2,Wednesday,11,20
16,2022-09-21 12:20:00,2022,9,21,2,Wednesday,12,20
17,2022-09-21 13:20:00,2022,9,21,2,Wednesday,13,20
18,2022-09-21 14:20:00,2022,9,21,2,Wednesday,14,20
19,2022-09-21 15:20:00,2022,9,21,2,Wednesday,15,20
20,2022-09-21 16:20:00,2022,9,21,2,Wednesday,16,20
21,2022-09-21 17:20:00,2022,9,21,2,Wednesday,17,20
22,2022-09-21 18:20:00,2022,9,21,2,Wednesday,18,20
23,2022-09-21 19:20:00,2022,9,21,2,Wednesday,19,20
24,2022-09-21 20:20:00,2022,9,21,2,Wednesday,20,20
25,2022-09-21 21:20:00,2022,9,21,2,Wednesday,21,20
26,2022-09-21 22:20:00,2022,9,21,2,Wednesday,22,20
27,2022-09-21 23:20:00,2022,9,21,2,Wednesday,23,20
28,2022-09-22 00:20:00,2022,9,22,3,Thursday,0,20
29,2022-09-22 01:20:00,2022,9,22,3,Thursday,1,20
30,2022-09-22 02:20:00,2022,9,22,3,Thursday,2,20
31,2022-09-22 03:20:00,2022,9,22,3,Thursday,3,20
32,2022-09-22 04:20:00,2022,9,22,3,Thursday,4,20
33,2022-09-22 05:20:00,2022,9,22,3,Thursday,5,20
34,2022-09-22 06:20:00,2022,9,22,3,Thursday,6,20
35,2022-09-22 07:20:00,2022,9,22,3,Thursday,7,20
36,2022-09-22 08:20:00,2022,9,22,3,Thursday,8,20
37,2022-09-22 09:20:00,2022,9,22,3,Thursday,9,20
38,2022-09-22 10:20:00,2022,9,22,3,Thursday,10,20
39,2022-09-22 11:20:00,2022,9,22,3,Thursday,11,20
40,2022-09-22 12:20:00,2022,9,22,3,Thursday,12,20
41,2022-09-22 13:20:00,2022,9,22,3,Thursday,13,20
42,2022-09-22 14:20:00,2022,9,22,3,Thursday,14,20
43,2022-09-22 15:20:00,2022,9,22,3,Thursday,15,20
44,2022-09-22 16:20:00,2022,9,22,3,Thursday,16,20
45,2022-09-22 17:20:00,2022,9,22,3,Thursday,17,20
46,2022-09-22 18:20:00,2022,9,22,3,Thursday,18,20
47,2022-09-22 19:20:00,2022,9,22,3,Thursday,19,20
48,2022-09-22 20:20:00,2022,9,22,3,Thursday,20,20
49,2022-09-22 21:20:00,2022,9,22,3,Thursday,21,20
50,2022-09-22 22:20:00,2022,9,22,3,Thursday,22,20
51,2022-09-22 23:20:00,2022,9,22,3,Thursday,23,20
52,2022-09-23 00:20:00,2022,9,23,4,Friday,0,20
53,2022-09-23 01:20:00,2022,9,23,4,Friday,1,20
54,2022-09-23 02:20:00,2022,9,23,4,Friday,2,20
55,2022-09-23 03:20:00,2022,9,23,4,Friday,3,20
56,2022-09-23 04:20:00,2022,9,23,4,Friday,4,20
57,2022-09-23 05:20:00,2022,9,23,4,Friday,5,20
58,2022-09-23 06:20:00,2022,9,23,4,Friday,6,20
59,2022-09-23 07:20:00,2022,9,23,4,Friday,7,20
60,2022-09-23 08:20:00,2022,9,23,4,Friday,8,20
61,2022-09-23 09:20:00,2022,9,23,4,Friday,9,20
62,2022-09-23 10:20:00,2022,9,23,4,Friday,10,20
63,2022-09-23 11:20:00,2022,9,23,4,Friday,11,20
64,2022-09-23 12:20:00,2022,9,23,4,Friday,12,20
65,2022-09-23 13:20:00,2022,9,23,4,Friday,13,20
66,2022-09-23 14:20:00,2022,9,23,4,Friday,14,20
67,2022-09-23 15:20:00,2022,9,23,4,Friday,15,20
68,2022-09-23 16:20:00,2022,9,23,4,Friday,16,20
69,2022-09-23 17:20:00,2022,9,23,4,Friday,17,20
70,2022-09-23 18:20:00,2022,9,23,4,Friday,18,20
71,2022-09-23 19:20:00,2022,9,23,4,Friday,19,20
72,2022-09-23 20:20:00,2022,9,23,4,Friday,20,20
73,2022-09-23 21:20:00,2022,9,23,4,Friday,21,20
74,2022-09-23 22:20:00,2022,9,23,4,Friday,22,20
75,2022-09-23 23:20:00,2022,9,23,4,Friday,23,20
76,2022-09-24 00:20:00,2022,9,24,5,Saturday,0,20
77,2022-09-24 01:20:00,2022,9,24,5,Saturday,1,20
78,2022-09-24 02:20:00,2022,9,24,5,Saturday,2,20
79,2022-09-24 03:20:00,2022,9,24,5,Saturday,3,20
80,2022-09-24 04:20:00,2022,9,24,5,Saturday,4,20
81,2022-09-24 05:20:00,2022,9,24,5,Saturday,5,20
82,2022-09-24 06:20:00,2022,9,24,5,Saturday,6,20
83,2022-09-24 07:20:00,2022,9,24,5,Saturday,7,20
84,2022-09-24 08:20:00,2022,9,24,5,Saturday,8,20
85,2022-09-24 09:20:00,2022,9,24,5,Saturday,9,20
86,2022-09-24 10:20:00,2022,9,24,5,Saturday,10,20
87,2022-09-24 11:20:00,2022,9,24,5,Saturday,11,20
88,2022-09-24 12:20:00,2022,9,24,5,Saturday,12,20
89,2022-09-24 13:20:00,2022,9,24,5,Saturday,13,20
90,2022-09-24 14:20:00,2022,9,24,5,Saturday,14,20
91,2022-09-24 15:20:00,2022,9,24,5,Saturday,15,20
92,2022-09-24 16:20:00,2022,9,24,5,Saturday,16,20
93,2022-09-24 17:20:00,2022,9,24,5,Saturday,17,20
94,2022-09-24 18:20:00,2022,9,24,5,Saturday,18,20
95,2022-09-24 19:20:00,2022,9,24,5,Saturday,19,20
96,2022-09-24 20:20:00,2022,9,24,5,Saturday,20,20
97,2022-09-24 21:20:00,2022,9,24,5,Saturday,21,20
98,2022-09-24 22:20:00,2022,9,24,5,Saturday,22,20
99,2022-09-24 23:20:00,2022,9,24,5,Saturday,23,20
100,2022-09-25 00:20:00,2022,9,25,6,Sunday,0,20
101,2022-09-25 01:20:00,2022,9,25,6,Sunday,1,20
102,2022-09-25 02:20:00,2022,9,25,6,Sunday,2,20
103,2022-09-25 03:20:00,2022,9,25,6,Sunday,3,20
104,2022-09-25 04:20:00,2022,9,25,6,Sunday,4,20
105,2022-09-25 05:20:00,2022,9,25,6,Sunday,5,20
106,2022-09-25 06:20:00,2022,9,25,6,Sunday,6,20
107,2022-09-25 07:20:00,2022,9,25,6,Sunday,7,20
108,2022-09-25 08:20:00,2022,9,25,6,Sunday,8,20
109,2022-09-25 09:20:00,2022,9,25,6,Sunday,9,20
110,2022-09-25 10:20:00,2022,9,25,6,Sunday,10,20
111,2022-09-25 11:20:00,2022,9,25,6,Sunday,11,20
112,2022-09-25 12:20:00,2022,9,25,6,Sunday,12,20
113,2022-09-25 13:20:00,2022,9,25,6,Sunday,13,20
114,2022-09-25 14:20:00,2022,9,25,6,Sunday,14,20
115,2022-09-25 15:20:00,2022,9,25,6,Sunday,15,20
116,2022-09-25 16:20:00,2022,9,25,6,Sunday,16,20
117,2022-09-25 17:20:00,2022,9,25,6,Sunday,17,20
118,2022-09-25 18:20:00,2022,9,25,6,Sunday,18,20
119,2022-09-25 19:20:00,2022,9,25,6,Sunday,19,20
120,2022-09-25 20:20:00,2022,9,25,6,Sunday,20,20
121,2022-09-25 21:20:00,2022,9,25,6,Sunday,21,20
122,2022-09-25 22:20:00,2022,9,25,6,Sunday,22,20
123,2022-09-25 23:20:00,2022,9,25,6,Sunday,23,20
124,2022-09-26 00:20:00,2022,9,26,0,Monday,0,20
125,2022-09-26 01:20:00,2022,9,26,0,Monday,1,20
126,2022-09-26 02:20:00,2022,9,26,0,Monday,2,20
127,2022-09-26 03:20:00,2022,9,26,0,Monday,3,20
128,2022-09-26 04:20:00,2022,9,26,0,Monday,4,20
129,2022-09-26 05:20:00,2022,9,26,0,Monday,5,20
130,2022-09-26 06:20:00,2022,9,26,0,Monday,6,20
131,2022-09-26 07:20:00,2022,9,26,0,Monday,7,20
132,2022-09-26 08:20:00,2022,9,26,0,Monday,8,20
133,2022-09-26 09:20:00,2022,9,26,0,Monday,9,20
134,2022-09-26 10:20:00,2022,9,26,0,Monday,10,20
135,2022-09-26 11:20:00,2022,9,26,0,Monday,11,20
136,2022-09-26 12:20:00,2022,9,26,0,Monday,12,20
137,2022-09-26 13:20:00,2022,9,26,0,Monday,13,20
138,2022-09-26 14:20:00,2022,9,26,0,Monday,14,20
139,2022-09-26 15:20:00,2022,9,26,0,Monday,15,20
140,2022-09-26 16:20:00,2022,9,26,0,Monday,16,20
141,2022-09-26 17:20:00,2022,9,26,0,Monday,17,20
142,2022-09-26 18:20:00,2022,9,26,0,Monday,18,20
143,2022-09-26 19:20:00,2022,9,26,0,Monday,19,20
144,2022-09-26 20:20:00,2022,9,26,0,Monday,20,20
145,2022-09-26 21:20:00,2022,9,26,0,Monday,21,20
146,2022-09-26 22:20:00,2022,9,26,0,Monday,22,20
147,2022-09-26 23:20:00,2022,9,26,0,Monday,23,20
148,2022-09-27 00:20:00,2022,9,27,1,Tuesday,0,20
149,2022-09-27 01:20:00,2022,9,27,1,Tuesday,1,20
150,2022-09-27 02:20:00,2022,9,27,1,Tuesday,2,20
151,2022-09-27 03:20:00,2022,9,27,1,Tuesday,3,20
152,2022-09-27 04:20:00,2022,9,27,1,Tuesday,4,20
