,METER_DATE,YEAR,MONTH,DAY,code_day_of_the_week,day_of_the_week,HOUR,MINUTE
0,2022-10-19 14:30:00,2022,10,19,2,Wednesday,14,30
1,2022-10-19 15:30:00,2022,10,19,2,Wednesday,15,30
2,2022-10-19 16:30:00,2022,10,19,2,Wednesday,16,30
3,2022-10-19 17:30:00,2022,10,19,2,Wednesday,17,30
4,2022-10-19 18:30:00,2022,10,19,2,Wednesday,18,30
5,2022-10-19 19:30:00,2022,10,19,2,Wednesday,19,30
6,2022-10-19 20:30:00,2022,10,19,2,Wednesday,20,30
7,2022-10-19 21:30:00,2022,10,19,2,Wednesday,21,30
8,2022-10-19 22:30:00,2022,10,19,2,Wednesday,22,30
9,2022-10-19 23:30:00,2022,10,19,2,Wednesday,23,30
10,2022-10-20 00:30:00,2022,10,20,3,Thursday,0,30
11,2022-10-20 01:30:00,2022,10,20,3,Thursday,1,30
12,2022-10-20 02:30:00,2022,10,20,3,Thursday,2,30
13,2022-10-20 03:30:00,2022,10,20,3,Thursday,3,30
14,2022-10-20 04:30:00,2022,10,20,3,Thursday,4,30
15,2022-10-20 05:30:00,2022,10,20,3,Thursday,5,30
16,2022-10-20 06:30:00,2022,10,20,3,Thursday,6,30
17,2022-10-20 07:30:00,2022,10,20,3,Thursday,7,30
18,2022-10-20 08:30:00,2022,10,20,3,Thursday,8,30
19,2022-10-20 09:30:00,2022,10,20,3,Thursday,9,30
20,2022-10-20 10:30:00,2022,10,20,3,Thursday,10,30
21,2022-10-20 11:30:00,2022,10,20,3,Thursday,11,30
22,2022-10-20 12:30:00,2022,10,20,3,Thursday,12,30
23,2022-10-20 13:30:00,2022,10,20,3,Thursday,13,30
24,2022-10-20 14:30:00,2022,10,20,3,Thursday,14,30
25,2022-10-20 15:30:00,2022,10,20,3,Thursday,15,30
26,2022-10-20 16:30:00,2022,10,20,3,Thursday,16,30
27,2022-10-20 17:30:00,2022,10,20,3,Thursday,17,30
28,2022-10-20 18:30:00,2022,10,20,3,Thursday,18,30
29,2022-10-20 19:30:00,2022,10,20,3,Thursday,19,30
30,2022-10-20 20:30:00,2022,10,20,3,Thursday,20,30
31,2022-10-20 21:30:00,2022,10,20,3,Thursday,21,30
32,2022-10-20 22:30:00,2022,10,20,3,Thursday,22,30
33,2022-10-20 23:30:00,2022,10,20,3,Thursday,23,30
34,2022-10-21 00:30:00,2022,10,21,4,Friday,0,30
35,2022-10-21 01:30:00,2022,10,21,4,Friday,1,30
36,2022-10-21 02:30:00,2022,10,21,4,Friday,2,30
37,2022-10-21 03:30:00,2022,10,21,4,Friday,3,30
38,2022-10-21 04:30:00,2022,10,21,4,Friday,4,30
39,2022-10-21 05:30:00,2022,10,21,4,Friday,5,30
40,2022-10-21 06:30:00,2022,10,21,4,Friday,6,30
41,2022-10-21 07:30:00,2022,10,21,4,Friday,7,30
42,2022-10-21 08:30:00,2022,10,21,4,Friday,8,30
43,2022-10-21 09:30:00,2022,10,21,4,Friday,9,30
44,2022-10-21 10:30:00,2022,10,21,4,Friday,10,30
45,2022-10-21 11:30:00,2022,10,21,4,Friday,11,30
46,2022-10-21 12:30:00,2022,10,21,4,Friday,12,30
47,2022-10-21 13:30:00,2022,10,21,4,Friday,13,30
48,2022-10-21 14:30:00,2022,10,21,4,Friday,14,30
49,2022-10-21 15:30:00,2022,10,21,4,Friday,15,30
50,2022-10-21 16:30:00,2022,10,21,4,Friday,16,30
51,2022-10-21 17:30:00,2022,10,21,4,Friday,17,30
52,2022-10-21 18:30:00,2022,10,21,4,Friday,18,30
53,2022-10-21 19:30:00,2022,10,21,4,Friday,19,30
54,2022-10-21 20:30:00,2022,10,21,4,Friday,20,30
55,2022-10-21 21:30:00,2022,10,21,4,Friday,21,30
56,2022-10-21 22:30:00,2022,10,21,4,Friday,22,30
57,2022-10-21 23:30:00,2022,10,21,4,Friday,23,30
58,2022-10-22 00:30:00,2022,10,22,5,Saturday,0,30
59,2022-10-22 01:30:00,2022,10,22,5,Saturday,1,30
60,2022-10-22 02:30:00,2022,10,22,5,Saturday,2,30
61,2022-10-22 03:30:00,2022,10,22,5,Saturday,3,30
62,2022-10-22 04:30:00,2022,10,22,5,Saturday,4,30
63,2022-10-22 05:30:00,2022,10,22,5,Saturday,5,30
64,2022-10-22 06:30:00,2022,10,22,5,Saturday,6,30
65,2022-10-22 07:30:00,2022,10,22,5,Saturday,7,30
66,2022-10-22 08:30:00,2022,10,22,5,Saturday,8,30
67,2022-10-22 09:30:00,2022,10,22,5,Saturday,9,30
68,2022-10-22 10:30:00,2022,10,22,5,Saturday,10,30
69,2022-10-22 11:30:00,2022,10,22,5,Saturday,11,30
70,2022-10-22 12:30:00,2022,10,22,5,Saturday,12,30
71,2022-10-22 13:30:00,2022,10,22,5,Saturday,13,30
72,2022-10-22 14:30:00,2022,10,22,5,Saturday,14,30
73,2022-10-22 15:30:00,2022,10,22,5,Saturday,15,30
74,2022-10-22 16:30:00,2022,10,22,5,Saturday,16,30
75,2022-10-22 17:30:00,2022,10,22,5,Saturday,17,30
76,2022-10-22 18:30:00,2022,10,22,5,Saturday,18,30
77,2022-10-22 19:30:00,2022,10,22,5,Saturday,19,30
78,2022-10-22 20:30:00,2022,10,22,5,Saturday,20,30
79,2022-10-22 21:30:00,2022,10,22,5,Saturday,21,30
80,2022-10-22 22:30:00,2022,10,22,5,Saturday,22,30
81,2022-10-22 23:30:00,2022,10,22,5,Saturday,23,30
82,2022-10-23 00:30:00,2022,10,23,6,Sunday,0,30
83,2022-10-23 01:30:00,2022,10,23,6,Sunday,1,30
84,2022-10-23 02:30:00,2022,10,23,6,Sunday,2,30
85,2022-10-23 03:30:00,2022,10,23,6,Sunday,3,30
86,2022-10-23 04:30:00,2022,10,23,6,Sunday,4,30
87,2022-10-23 05:30:00,2022,10,23,6,Sunday,5,30
