,METER_DATE,YEAR,MONTH,DAY,code_day_of_the_week,day_of_the_week,HOUR,MINUTE
0,2022-07-17 23:10:00,2022,7,17,6,Sunday,23,10
1,2022-07-18 00:10:00,2022,7,18,0,Monday,0,10
2,2022-07-18 01:10:00,2022,7,18,0,Monday,1,10
3,2022-07-18 02:10:00,2022,7,18,0,Monday,2,10
4,2022-07-18 03:10:00,2022,7,18,0,Monday,3,10
5,2022-07-18 04:10:00,2022,7,18,0,Monday,4,10
6,2022-07-18 05:10:00,2022,7,18,0,Monday,5,10
7,2022-07-18 06:10:00,2022,7,18,0,Monday,6,10
8,2022-07-18 07:10:00,2022,7,18,0,Monday,7,10
9,2022-07-18 08:10:00,2022,7,18,0,Monday,8,10
10,2022-07-18 09:10:00,2022,7,18,0,Monday,9,10
11,2022-07-18 10:10:00,2022,7,18,0,Monday,10,10
12,2022-07-18 11:10:00,2022,7,18,0,Monday,11,10
13,2022-07-18 12:10:00,2022,7,18,0,Monday,12,10
14,2022-07-18 13:10:00,2022,7,18,0,Monday,13,10
15,2022-07-18 14:10:00,2022,7,18,0,Monday,14,10
16,2022-07-18 15:10:00,2022,7,18,0,Monday,15,10
17,2022-07-18 16:10:00,2022,7,18,0,Monday,16,10
18,2022-07-18 17:10:00,2022,7,18,0,Monday,17,10
19,2022-07-18 18:10:00,2022,7,18,0,Monday,18,10
20,2022-07-18 19:10:00,2022,7,18,0,Monday,19,10
21,2022-07-18 20:10:00,2022,7,18,0,Monday,20,10
22,2022-07-18 21:10:00,2022,7,18,0,Monday,21,10
23,2022-07-18 22:10:00,2022,7,18,0,Monday,22,10
24,2022-07-18 23:10:00,2022,7,18,0,Monday,23,10
25,2022-07-19 00:10:00,2022,7,19,1,Tuesday,0,10
26,2022-07-19 01:10:00,2022,7,19,1,Tuesday,1,10
27,2022-07-19 02:10:00,2022,7,19,1,Tuesday,2,10
28,2022-07-19 03:10:00,2022,7,19,1,Tuesday,3,10
29,2022-07-19 04:10:00,2022,7,19,1,Tuesday,4,10
30,2022-07-19 05:10:00,2022,7,19,1,Tuesday,5,10
31,2022-07-19 06:10:00,2022,7,19,1,Tuesday,6,10
32,2022-07-19 07:10:00,2022,7,19,1,Tuesday,7,10
33,2022-07-19 08:10:00,2022,7,19,1,Tuesday,8,10
34,2022-07-19 09:10:00,2022,7,19,1,Tuesday,9,10
35,2022-07-19 10:10:00,2022,7,19,1,Tuesday,10,10
36,2022-07-19 11:10:00,2022,7,19,1,Tuesday,11,10
37,2022-07-19 12:10:00,2022,7,19,1,Tuesday,12,10
38,2022-07-19 13:10:00,2022,7,19,1,Tuesday,13,10
39,2022-07-19 14:10:00,2022,7,19,1,Tuesday,14,10
40,2022-07-19 15:10:00,2022,7,19,1,Tuesday,15,10
41,2022-07-19 16:10:00,2022,7,19,1,Tuesday,16,10
42,2022-07-19 17:10:00,2022,7,19,1,Tuesday,17,10
43,2022-07-19 18:10:00,2022,7,19,1,Tuesday,18,10
44,2022-07-19 19:10:00,2022,7,19,1,Tuesday,19,10
45,2022-07-19 20:10:00,2022,7,19,1,Tuesday,20,10
46,2022-07-19 21:10:00,2022,7,19,1,Tuesday,21,10
47,2022-07-19 22:10:00,2022,7,19,1,Tuesday,22,10
48,2022-07-19 23:10:00,2022,7,19,1,Tuesday,23,10
49,2022-07-20 00:10:00,2022,7,20,2,Wednesday,0,10
50,2022-07-20 01:10:00,2022,7,20,2,Wednesday,1,10
51,2022-07-20 02:10:00,2022,7,20,2,Wednesday,2,10
