dateKind,dateName,isHoliday,locdate,seq
1,신정,Y,20100101,1
1,설날,Y,20100213,1
1,설날,Y,20100214,1
1,설날,Y,20100215,1
1,삼일절,Y,20100301,1
1,어린이날,Y,20100505,1
1,석가탄신일,Y,20100521,1
1,현충일,Y,20100606,1
1,광복절,Y,20100815,1
1,추석,Y,20100921,1
1,추석,Y,20100922,1
1,추석,Y,20100923,1
1,개천절,Y,20101003,1
1,기독탄신일,Y,20101225,1
1,신정,Y,20110101,1
1,설날,Y,20110202,1
1,설날,Y,20110203,1
1,설날,Y,20110204,1
1,삼일절,Y,20110301,1
1,어린이날,Y,20110505,1
1,석가탄신일,Y,20110510,1
1,현충일,Y,20110606,1
1,광복절,Y,20110815,1
1,추석,Y,20110911,1
1,추석,Y,20110912,1
1,추석,Y,20110913,1
1,개천절,Y,20111003,1
1,기독탄신일,Y,20111225,1
1,신정,Y,20120101,1
1,설날,Y,20120122,1
1,설날,Y,20120123,1
1,설날,Y,20120124,1
1,삼일절,Y,20120301,1
1,국회의원선거일,Y,20120411,1
1,어린이날,Y,20120505,1
1,석가탄신일,Y,20120528,1
1,현충일,Y,20120606,1
1,광복절,Y,20120815,1
1,추석,Y,20120929,1
1,추석,Y,20120930,1
1,추석,Y,20121001,1
1,개천절,Y,20121003,1
1,대통령선거일,Y,20121219,1
1,기독탄신일,Y,20121225,1
1,신정,Y,20130101,1
1,설날,Y,20130209,1
1,설날,Y,20130210,1
1,설날,Y,20130211,1
1,삼일절,Y,20130301,1
1,어린이 날,Y,20130505,1
1,석가탄신일,Y,20130517,1
1,현충일,Y,20130606,1
1,광복절,Y,20130815,1
1,추석,Y,20130918,1
1,추석,Y,20130919,1
1,추석,Y,20130920,1
1,개천절,Y,20131003,1
1,한글날,Y,20131009,1
1,기독탄신일,Y,20131225,1
1,신정,Y,20140101,1
1,설날,Y,20140130,1
1,설날,Y,20140131,1
1,설날,Y,20140201,1
1,삼일절,Y,20140301,1
1,어린이날,Y,20140505,1
1,석가탄신일,Y,20140506,1
1,동시지방선거일,Y,20140604,1
1,현충일,Y,20140606,1
1,광복절,Y,20140815,1
1,추석,Y,20140907,1
1,추석,Y,20140908,1
1,추석,Y,20140909,1
1,대체공휴일,Y,20140910,1
1,개천절,Y,20141003,1
1,한글날,Y,20141009,1
1,기독탄신일,Y,20141225,1
1,신정,Y,20150101,1
1,설날,Y,20150218,1
1,설날,Y,20150219,1
1,설날,Y,20150220,1
1,삼일절,Y,20150301,1
1,어린이날,Y,20150505,1
1,석가탄신일,Y,20150525,1
1,현충일,Y,20150606,1
1,광복절,Y,20150815,1
1,추석,Y,20150926,1
1,추석,Y,20150927,1
1,추석,Y,20150928,1
1,대체공휴일,Y,20150929,1
1,개천절,Y,20151003,1
1,한글날,Y,20151009,1
1,기독탄신일,Y,20151225,1
1,신정,Y,20160101,1
1,설날,Y,20160207,1
1,설날,Y,20160208,1
1,설날,Y,20160209,1
1,대체공휴일,Y,20160210,1
1,삼일절,Y,20160301,1
1,국회의원선거일,Y,20160413,1
1,어린이날,Y,20160505,1
1,임시공휴일,Y,20160506,1
1,석가탄신일,Y,20160514,1
1,현충일,Y,20160606,1
1,광복절,Y,20160815,1
1,추석,Y,20160914,1
1,추석,Y,20160915,1
1,추석,Y,20160916,1
1,개천절,Y,20161003,1
1,한글날,Y,20161009,1
1,기독탄신일,Y,20161225,1
1,신정,Y,20170101,1
1,설날,Y,20170127,1
1,설날,Y,20170128,1
1,설날,Y,20170129,1
1,대체공휴일,Y,20170130,1
1,삼일절,Y,20170301,1
1,석가탄신일,Y,20170503,1
1,어린이날,Y,20170505,1
1,대통령선거일,Y,20170509,1
1,현충일,Y,20170606,1
1,광복절,Y,20170815,1
1,임시공휴일,Y,20171002,2
1,개천절,Y,20171003,1
1,추석,Y,20171003,2
1,추석,Y,20171004,1
1,추석,Y,20171005,1
1,대체공휴일,Y,20171006,1
1,한글날,Y,20171009,1
1,기독탄신일,Y,20171225,1
1,1월1일,Y,20180101,1
1,설날,Y,20180215,1
1,설날,Y,20180216,1
1,설날,Y,20180217,1
1,삼일절,Y,20180301,1
1,어린이날,Y,20180505,1
1,대체휴무일,Y,20180507,1
1,부처님오신날,Y,20180522,1
1,현충일,Y,20180606,1
1,전국동시지방선거,Y,20180613,1
1,광복절,Y,20180815,1
1,추석,Y,20180923,1
1,추석,Y,20180924,1
1,추석,Y,20180925,1
1,대체휴무일,Y,20180926,1
1,개천절,Y,20181003,1
1,한글날,Y,20181009,1
1,기독탄신일,Y,20181225,1
1,1월1일,Y,20190101,1
1,설날,Y,20190204,1
1,설날,Y,20190205,1
1,설날,Y,20190206,1
1,삼일절,Y,20190301,1
1,어린이날,Y,20190505,1
1,대체공휴일,Y,20190506,1
