공급일자,시간,경기도,경상권,서울,전라권,충청권
2023-01-01,01:00,222.21,99.96,346.48,32.84,185.28
2023-01-01,02:00,233.85,98.66,278.03,23.14,180.69
2023-01-01,03:00,156.48,155.49,255.27,27.51,204.93
2023-01-01,04:00,255.71,123.7,207.91,30.9,232.17
2023-01-01,05:00,164.63,106.38,271.94,25.17,166.8
2023-01-01,06:00,216.54,143.3,200.36,28.77,215.38
2023-01-01,07:00,182.58,125.66,226.24,34.03,172.55
2023-01-01,08:00,285.55,134.14,326.63,39.6,154.88
2023-01-01,09:00,186.46,105.55,304.9,40.41,154.87
2023-01-01,10:00,231.9,75.25,253.16,33.85,182.98
2023-01-01,11:00,215.13,103.65,207.61,11.45,147.65
2023-01-01,12:00,206.66,94.44,291.32,21.43,86.68
2023-01-01,13:00,190.91,63.27,264.29,17.53,137.15
2023-01-01,14:00,219.47,67.58,269.12,6.19,66.11
2023-01-01,15:00,190.29,73.19,303.29,23.48,102.02
2023-01-01,16:00,210.26,79.48,292.51,11.69,136.87
2023-01-01,17:00,140.52,88.79,293.13,16,170.26
2023-01-01,18:00,151.37,146.94,278.53,24.89,217.57
2023-01-01,19:00,178.38,176.73,256.47,34.9,179.46
2023-01-01,20:00,319.33,123.67,333.48,35.27,248.91
2023-01-01,21:00,346.95,123.6,322.15,51.36,175.58
2023-01-01,22:00,333.46,137.22,292.81,42.63,200.16
2023-01-01,23:00,326.25,130.62,350.57,42.56,220.05
2023-01-01,00:00,297.87,114.46,282.42,36.16,261.43
2023-01-02,01:00,243.39,140.49,352.72,31.3,151.18
2023-01-02,02:00,247.1,102.79,317.23,38.5,252.47
2023-01-02,03:00,265.84,92.76,324.58,27.24,145.84
2023-01-02,04:00,232.14,83.42,358.7,26.56,141.72
2023-01-02,05:00,201.42,136.98,301.2,32.42,145.66
2023-01-02,06:00,215.47,146.2,355.75,37.05,168.29
2023-01-02,07:00,188.3,133.71,327.77,39.27,180.33
2023-01-02,08:00,210.09,110.01,406.59,46.06,179.8
2023-01-02,09:00,220.31,126.65,407.42,29.53,278.84
2023-01-02,10:00,302.13,82.92,230.54,34.32,192.85
2023-01-02,11:00,264.3,76.98,326.76,12.79,173.85
2023-01-02,12:00,182.35,120.04,302.57,23.56,123.03
2023-01-02,13:00,259.86,90.74,268.61,26.94,160.88
2023-01-02,14:00,181.3,87.31,222.71,21.5,143.08
2023-01-02,15:00,182.79,76.58,195.37,20.3,145.48
2023-01-02,16:00,202.6,100.17,186.2,20.87,83.33
2023-01-02,17:00,182.68,69.63,276.48,28.95,113.56
2023-01-02,18:00,245.26,82.26,360.1,34.13,155.2
2023-01-02,19:00,284.3,149.22,315.51,37.94,208.38
2023-01-02,20:00,289.63,179.25,387.49,24.63,278.61
2023-01-02,21:00,243.15,184.97,315.31,30.49,201.28
2023-01-02,22:00,240.69,178.25,440.79,28.47,245.09
2023-01-02,23:00,317.45,118.34,296.69,42.34,298.46
2023-01-02,00:00,223.42,123.07,366.51,47.98,180.22
2023-01-03,01:00,308.67,145,286.85,34.95,245.25
2023-01-03,02:00,200.32,129.52,237.84,42.48,180.84
2023-01-03,03:00,199.95,94.68,237.87,45.36,199.71
2023-01-03,04:00,249.23,141.27,243.76,30.64,152.98
2023-01-03,05:00,181.14,103.4,279.4,24.84,203.1
2023-01-03,06:00,296.57,113.17,356.36,29.56,247.43
2023-01-03,07:00,246.24,127.61,380.77,35.64,264
2023-01-03,08:00,283.42,116.42,359.27,50.52,286.01
2023-01-03,09:00,240.71,139.85,276.64,46.49,283.7
2023-01-03,10:00,327.4,65.74,358.22,34.2,250.69
2023-01-03,11:00,246.13,124.26,262.07,26.82,140.85
2023-01-03,12:00,171.75,77.7,239.71,32.12,206.15
2023-01-03,13:00,135.46,61.04,272.01,14.13,176.97
2023-01-03,14:00,185.58,65.3,274.09,22.35,180.47
2023-01-03,15:00,186.44,43.23,268.85,27.11,120.41
2023-01-03,16:00,122.25,68.83,311.44,25.26,153.77
2023-01-03,17:00,251.83,88.67,219.8,30.25,135.87
2023-01-03,18:00,211.72,126.52,336.8,25.47,211.78
2023-01-03,19:00,269.98,120.82,342.57,31.65,225.56
2023-01-03,20:00,315.03,122.73,340.02,31.75,188.45
2023-01-03,21:00,224.21,124.33,375.76,27.88,187.69
