일자,시간,공급량1,공급량2,공급량3
2023-09-01,01,0,48,246
2023-09-01,02,0,49,252
2023-09-01,03,1,51,254
2023-09-01,04,0,48,245
2023-09-01,05,0,49,252
2023-09-01,06,1,18,248
2023-09-01,07,0,28,316
2023-09-01,08,0,54,344
2023-09-01,09,0,52,345
2023-09-01,10,1,50,287
2023-09-01,11,0,50,282
2023-09-01,12,1,57,260
2023-09-01,13,0,66,286
2023-09-01,14,0,68,283
2023-09-01,15,1,66,271
2023-09-01,16,0,70,293
2023-09-01,17,0,83,303
2023-09-01,18,1,79,284
2023-09-01,19,0,85,278
2023-09-01,20,0,67,243
2023-09-01,21,1,65,233
2023-09-01,22,0,58,237
2023-09-01,23,0,53,225
2023-09-01,24,1,44,231
2023-09-02,01,1,50,214
2023-09-02,02,1,54,221
2023-09-02,03,1,54,220
2023-09-02,04,1,52,225
2023-09-02,05,1,53,232
2023-09-02,06,1,53,227
2023-09-02,07,0,45,217
2023-09-02,08,0,47,172
2023-09-02,09,0,54,138
2023-09-02,10,0,40,126
2023-09-02,11,0,56,137
2023-09-02,12,0,51,132
2023-09-02,13,0,56,218
2023-09-02,14,0,58,207
2023-09-02,15,0,61,210
2023-09-02,16,0,65,193
2023-09-02,17,0,74,235
2023-09-02,18,0,66,228
2023-09-02,19,0,62,212
2023-09-02,20,0,36,228
2023-09-02,21,0,36,238
2023-09-02,22,0,36,227
2023-09-02,23,0,87,174
2023-09-02,24,0,82,195
2023-09-03,01,0,70,169
2023-09-03,02,0,52,180
2023-09-03,03,0,43,165
2023-09-03,04,0,45,162
2023-09-03,05,0,46,155
2023-09-03,06,0,53,159
2023-09-03,07,0,26,164
2023-09-03,08,1,28,194
2023-09-03,09,1,27,255
2023-09-03,10,1,25,263
2023-09-03,11,1,26,284
2023-09-03,12,1,24,294
2023-09-03,13,1,6,354
2023-09-03,14,1,20,395
2023-09-03,15,1,21,398
2023-09-03,16,0,91,443
2023-09-03,17,0,28,493
2023-09-03,18,0,29,522
2023-09-03,19,0,35,531
2023-09-03,20,0,99,550
2023-09-03,21,0,86,529
2023-09-03,22,0,85,535
2023-09-03,23,0,67,490
2023-09-03,24,0,22,379
2023-09-04,01,0,22,328
2023-09-04,02,0,24,325
2023-09-04,03,0,22,315
2023-09-04,04,0,24,316
2023-09-04,05,0,22,342
2023-09-04,06,0,32,354
2023-09-04,07,0,54,388
2023-09-04,08,0,59,398
2023-09-04,09,0,37,392
2023-09-04,10,0,62,358
2023-09-04,11,1,65,381
2023-09-04,12,0,62,384
2023-09-04,13,0,34,376
2023-09-04,14,1,27,349
2023-09-04,15,0,11,349
2023-09-04,16,0,16,376
2023-09-04,17,1,68,384
2023-09-04,18,0,64,374
2023-09-04,19,1,50,368
2023-09-04,20,0,53,347
2023-09-04,21,1,60,372
2023-09-04,22,0,37,378
2023-09-04,23,1,31,346
2023-09-04,24,1,32,303
2023-09-05,01,1,35,243
2023-09-05,02,1,32,230
2023-09-05,03,1,39,239
2023-09-05,04,1,37,228
2023-09-05,05,1,37,227
2023-09-05,06,0,14,246
2023-09-05,07,0,14,243
2023-09-05,08,0,16,274
2023-09-05,09,0,57,353
2023-09-05,10,0,59,395
2023-09-05,11,0,67,404
2023-09-05,12,0,60,406
2023-09-05,13,0,57,389
2023-09-05,14,0,48,399
2023-09-05,15,0,51,402
2023-09-05,16,0,43,416
2023-09-05,17,0,41,436
2023-09-05,18,0,38,423
2023-09-05,19,0,42,426
2023-09-05,20,0,30,435
2023-09-05,21,0,29,423
2023-09-05,22,1,36,425
2023-09-05,23,1,45,407
2023-09-05,24,1,31,349
2023-09-06,01,1,40,343
2023-09-06,02,0,59,350
2023-09-06,03,1,56,353
2023-09-06,04,1,59,341
2023-09-06,05,0,56,349
2023-09-06,06,1,54,350
2023-09-06,07,0,73,390
2023-09-06,08,1,78,437
2023-09-06,09,1,67,462
2023-09-06,10,0,25,402
2023-09-06,11,1,28,413
2023-09-06,12,0,29,389
2023-09-06,13,1,30,401
2023-09-06,14,1,28,407
2023-09-06,15,0,29,403
2023-09-06,16,1,24,377
2023-09-06,17,0,23,375
2023-09-06,18,1,22,385
2023-09-06,19,1,22,389
2023-09-06,20,0,22,389
2023-09-06,21,1,14,381
2023-09-06,22,0,0,356
2023-09-06,23,1,0,314
2023-09-06,24,0,60,262
2023-09-07,01,1,70,243
2023-09-07,02,1,30,252
2023-09-07,03,1,60,208
2023-09-07,04,1,56,228
2023-09-07,05,1,46,220
2023-09-07,06,1,48,219
2023-09-07,07,1,0,255
2023-09-07,08,1,12,311
2023-09-07,09,1,69,295
2023-09-07,10,1,82,191
2023-09-07,11,1,97,228
2023-09-07,12,1,108,212
2023-09-07,13,1,101,215
2023-09-07,14,1,96,213
2023-09-07,15,1,105,217
2023-09-07,16,1,89,244
2023-09-07,17,0,79,302
2023-09-07,18,0,88,329
2023-09-07,19,0,91,315
2023-09-07,20,0,66,327
2023-09-07,21,0,58,294
2023-09-07,22,0,59,304
2023-09-07,23,0,57,311
2023-09-07,24,0,36,286
2023-09-08,01,1,40,262
2023-09-08,02,1,16,261
2023-09-08,03,1,18,271
2023-09-08,04,1,16,272
2023-09-08,05,1,18,270
2023-09-08,06,1,16,279
2023-09-08,07,1,14,313
2023-09-08,08,1,16,318
2023-09-08,09,1,0,349
2023-09-08,10,1,28,288
2023-09-08,11,1,24,293
2023-09-08,12,1,25,305
2023-09-08,13,1,28,299
2023-09-08,14,1,26,281
2023-09-08,15,1,0,285
2023-09-08,16,1,0,328
2023-09-08,17,1,77,354
2023-09-08,18,0,67,392
2023-09-08,19,0,48,380
2023-09-08,20,0,55,414
2023-09-08,21,0,86,391
2023-09-08,22,0,92,405
2023-09-08,23,0,87,393
2023-09-08,24,0,66,235
2023-09-09,01,1,50,239
2023-09-09,02,0,46,223
2023-09-09,03,1,47,217
2023-09-09,04,1,61,214
2023-09-09,05,0,22,234
2023-09-09,06,0,18,232
2023-09-09,07,1,38,232
2023-09-09,08,1,32,237
2023-09-09,09,0,0,182
2023-09-09,10,1,0,167
2023-09-09,11,1,0,177
2023-09-09,12,0,0,211
2023-09-09,13,1,0,207
2023-09-09,14,1,0,218
2023-09-09,15,0,0,244
2023-09-09,16,0,0,245
2023-09-09,17,1,0,301
2023-09-09,18,0,0,315
2023-09-09,19,1,0,315
2023-09-09,20,0,0,324
2023-09-09,21,1,0,308
2023-09-09,22,1,0,295
2023-09-09,23,1,0,289
2023-09-09,24,1,0,256
2023-09-10,01,1,0,233
2023-09-10,02,1,0,220
2023-09-10,03,1,0,227
2023-09-10,04,1,0,216
2023-09-10,05,1,0,216
2023-09-10,06,1,22,205
