"기준년도","월별","주택용","업우용","공공용","냉수용"
"2021","01","2649006.89","307767.3","64809.08","9668.6"
"2021","02","1885308.59","205925.95","45057.58","9146.5"
"2021","03","1365104.27","128189.4","31741.74","11569.2"
"2021","04","792837.57","63380.32","16143.85","14058.1"
"2021","05","561267.89","64847.4","11539.01","20351.14"
"2021","06","318675.16","122495.4","18400.25","32808.06"
"2021","07","229163.6","199506.92","27749.3","48930.09"
"2021","08","192177.13","184640.36","24044.61","44984.85"
"2021","09","261908.12","115022.48","15025.53","31818.54"
"2021","10","633546.97","76765.42","14860.5","20058.8"
"2021","11","1310154.49","126416.25","31110.12","12125.5"
"2021","12","2241359.27","261696.45","56229.01","10986.61"
"2020","01","2118982.47","228164.4","51166.11","9506.1"
"2020","02","1864904.25","198290.43","43384.54","8957.3"
"2020","03","1450366.88","133817.29","31697.64","10225.8"
"2020","04","1004933.13","73703.33","19106.88","10821.4"
"2020","05","491323.01","61550.98","9409.74","19581.37"
"2020","06","270172.45","120027.04","16391.71","32830.44"
"2020","07","252118.18","137742.79","18648.64","36980.17"
"2020","08","243632.64","173824.28","24224.3","43922.51"
"2020","09","281781.56","91037.35","18864.76","29097.97"
"2020","10","685424.5","54630.24","12851.22","15624.73"
"2020","11","1287033.84","118199.15","29623.33","11258.8"
"2020","12","2303595.19","251748.98","56375.18","9632.5"
"2019","01","2274023.23","255905.71","55045.57","9293.8"
"2019","02","1854651.52","200832.43","41383.38","8460.6"
"2019","03","1408359.96","130659.95","31899.72","9864.4"
"2019","04","932560.07","81074.39","21789.78","11718.4"
"2019","05","436079.8","72810.15","14245.42","21324.51"
"2019","06","272866.74","95790.72","16061.2","29395.3"
"2019","07","214349.29","145738.43","22962.22","39428.87"
"2019","08","176522.01","169593.11","25626.96","43614.36"
"2019","09","236625.8","98499.28","15047.51","30364.66"
"2019","10","509774.34","56027.36","12777.82","19007.35"
"2019","11","1243557.21","118251.52","29792.09","10808.59"
"2019","12","2045126.08","220736.98","51376.25","9523.7"
"2018","01","2473846","286020.7","59521.57","8541.2"
"2018","02","2068026.12","230143.88","48879.51","7831"
"2018","03","1357206.09","125591.28","30744.73","9693.2"
"2018","04","784246.93","63820.69","13980.25","11349.5"
"2018","05","452393.19","63493.36","11208.5","19412.9"
"2018","06","260670.9","93682.33","14657.23","29266.3"
"2018","07","197903.61","150496.91","24160.96","42638.1"
"2018","08","127181.75","162562.57","25834.98","46346.8"
"2018","09","236296.2","77769.24","11690.61","19666.4"
"2018","10","689807.33","54448.8","12189.82","13936"
"2018","11","1210779.49","107506.21","28309.57","10030.9"
"2018","12","2157899.49","238718.11","52080.73","9370.1"
"2017","01","2114450.48","219297.33","49205.44","8687.3"
"2017","02","1806472.45","192516.46","44610.69","7614.2"
"2017","03","1386322.66","128770.2","32792.07","9109.5"
"2017","04","715776.29","57142.44","13894.33","10520.8"
"2017","05","361810.29","52981.84","9060.44","20550.3"
"2017","06","232411.66","75981.51","13860.78","29207.1"
"2017","07","180115.81","128511.43","21579.82","41626"
"2017","08","172314.19","125762.66","19939.43","39581.7"
"2017","09","221067.09","73043.51","10339.04","26879.9"
"2017","10","471791.67","42245.38","7876.41","15026.5"
"2017","11","1326717.34","125888.98","29720.68","9214.7"
"2017","12","2248667.82","244965.22","54942.43","8897.36"
"2016","01","2201528","229699","51909","10194"
"2016","02","1790001","177476","41436","9096"
"2016","03","1324381","115435","29618","10029"
"2016","04","643981","47871","11798","11545"
"2016","05","369409","48663","8976","20385"
"2016","06","218960","71286","12858","29192"
"2016","07","194977","97305","17625","36283"
"2016","08","128315","110315","19789","43001"
"2016","09","182756","63123","10519","27457"
"2016","10","461260","40427","8417","16061"
"2016","11","1196370","104101","26754","9880"
"2016","12","1804306","179296","43879","8951"
"2015","01","1984076","193104","48405","9381"
"2015","02","1639902","150790","38390","8480"
"2015","03","1363028","115528","32817","9676"
"2015","04","754781","51174","14506","10355"
"2015","05","362563","40527","8227","16981"
"2015","06","214120","57697","10874","25430"
"2015","07","167138","78085","16685","27341"
"2015","08","132910","82744","16905","32104"
"2015","09","184729","52905","8784","24747"
"2015","10","443017","36691","7868","14503"
"2015","11","1033320","80194","19182","11172"
"2015","12","1742124","168600","42059","10617"
"2014","01","1933966","176075","45131","8836"
"2014","02","1562508","139757","38138","8228"
"2014","03","1214878","93234","27946","9390"
"2014","04","648067","41775","12007","9924"
"2014","05","391066","37304","8008","15362"
"2014","06","201709","48152","8168","22447"
"2014","07","153874","69513","15227","30679"
"2014","08","152907","64430","11390","29201"
"2014","09","192365","45067","7307","23256"
"2014","10","482146","33499","8221","12765"
"2014","11","1044265","76875","20890","9893"
"2014","12","2105922","208109","55067","9343"
"2013","01","2208374.92","199611.58","53641.83","8912"
"2013","02","1750425.73","150229.37","40838.61","8021.1"
"2013","03","1345302.87","98403.5","28974.53","9042.4"
"2013","04","955253.78","59592.15","18095.86","8953.2"
"2013","05","424185.27","35212.21","8582.64","13946"
"2013","06","208855.74","44588.68","8643.75","21080.7"
"2013","07","175289.98","58790.77","12820.25","27406.4"
"2013","08","127470.03","63537","13416.88","29781"
"2013","09","188770.74","33922.37","5081.32","18822.4"
"2013","10","467042.53","31096.46","7464.1","12721"
"2013","11","1203454.35","89967.79","24559.66","8924.8"
"2013","12","1840925.67","166599.7","45759.71","8930.5"
"2012","01","2088262","178766","45369","8769"
"2012","02","1885797","166843","45430","8351"
"2012","03","1432233","103943","31277","8914"
"2012","04","824535","50229","14518","9312"
"2012","05","328487","31307","7619","16281"
"2012","06","194121","39782","8634","21606"
"2012","07","167253","51416","12027","26300"
"2012","08","123679","56251","12574","28531"
"2012","09","225535","31645","6701","18209"
"2012","10","488916","28860","7932","11750"
"2012","11","1266762","88273","26309","9085"
"2012","12","2174550","192817","53980","9185"
"2011","01","2301002","206207","53308","7768"
"2011","02","1630035","126694","34457","7127"
"2011","03","1484879","106421","33028","8037"
"2011","04","879429","48832","14161","7952"
"2011","05","442130","31454","7983","11747"
"2011","06","244377","35869","8276","17921"
"2011","07","203566","46056","11387","24156"
"2011","08","162489","49211","12101","25992"
"2011","09","208387","31600","7860","17867"
"2011","10","615342","30259","8527","9889"
"2011","11","886715","53918","16361","8864"
"2011","12","1859437","151668","44268","8762"
"2010","01","2185828","196293","51319","5498"
"2010","02","1569099","127252","35193","5257"
"2010","03","1442526","102345","32314","6009"
"2010","04","976841","56276","16763","6078"
"2010","05","443775","28340","7211","7673"
"2010","06","209848","34059","8667","15015"
"2010","07","147098","41071","11797","19653"
"2010","08","121889","43236","12455","22821"
"2010","09","204426","27561","7358","16749"
"2010","10","587747","28266","7647","8593"
"2010","11","1174278","78376","23222","7438"
"2010","12","1884023","155658","45618","7729"
"2009","01","1942975","174332","46463","3301"
"2009","02","1395653","113887","32907","3149"
"2009","03","1246382","90415","28752","3608"
"2009","04","730337","41086","11899","3737"
"2009","05","359209","26278","6184","5522"
"2009","06","201922","29286","6385","8272"
"2009","07","167695","37343","10370","10956"
"2009","08","136249","38555","9809","12132"
"2009","09","193940","26088","6420","8996"
"2009","10","493264","23986","6676","5543"
"2009","11","1171659","80140","25614","4866"
"2009","12","1873091","156134","47202","5189"
