실적일자,지사명,지사공급구역명,허가세대수
2023-12-31,강남지사,"수서, 일원, 가락한라",227533
2023-12-31,중앙지사,"남서울, 상암, 상암2, 덕은",108651
2023-12-31,고양사업소,고양,207925
2023-12-31,삼송지사,"삼송, 원흥, 지축, 은평뉴타운",62031
2023-12-31,용인지사,용인,202008
2023-12-31,광교지사,수원광교,21987
2023-12-31,수원사업소,수원,173467
2023-12-31,대구지사,대구,112805
2023-12-31,광주전남지사,광주전남혁신도시,17079
2023-12-31,김해사업소,김해,39443
2023-12-31,양산지사,"양산물금, 사송",63514
2023-12-31,청주지사,청주(동남지구 포함),94270
2023-12-31,파주지사,"파주교하, 운정, 운정2",90357
2023-12-31,판교지사,"성남판교,도촌",41681
2023-12-31,"화성지사, 동탄지사","화성동탄1,2, 용인서천",187714
2023-12-31,분당사업소,분당,138054
2023-12-31,세종지사,행정복합중심도시,184596
2023-12-31,평택지사,평택 고덕국제화계획지구,53157
