노선명,휴게소명,소재지,부지면적(제곱미터),대형,소형,장애인,운영형태,1일 이용객수,1일 차량 통행량
경부선,건천(부산),경북 경주 건천 경부고속도로 77건천(부산)휴게소,13041,73,43,4,임대,4165,3357
경부선,건천(서울),경북 경주 건천 경부고속도로 76건천(서울)휴게소,23174,23,69,4,임대,4819,2757
경부선,경산(서울),경북 경산 진량읍 대학로 1089경산(서울)휴게소,33100,62,183,8,임대,6299,2528
경부선,경주(부산),경북 경주시 내남면 경부고속도로 59-1 경주(부산)휴게소,72848,142,146,6,임대,5258,2516
경부선,금강(부산),충북 옥천 동이 금강로596 금강휴게소,8793,40,264,10,민자,4171,3091
경부선,기흥(부산),경기 용인시 기흥구 공세로 173 기흥(부산)휴게소,72615,68,357,21,임대,11207,10304
경부선,김천(부산),경북 김천시 농소면 경부고속도로 193 김천(부산)휴게소,45224,65,121,7,임대,3900,2483
경부선,김천(서울),경북 김천시 농소면 경부고속도로 194 김천(서울)휴게소,30577,51,105,6,임대,4978,2580
경부선,망향(부산),충남 천안시 서북구 성거읍 요방리 돌다리길 23-37 망향(부산)휴게소,33558,68,246,15,임대,14077,7861
경부선,서울만남(부산),서울특별시 서초구 양재대로12길 73-71 서울만남의광장(부산)휴게소,13845,2,256,4,임대,11838,8576
경부선,신탄진(서울),대전 대덕구 산업단지로 27신탄진(서울)휴게소,63846,197,133,12,임대,12926,5326
경부선,안성(부산),경기 안성시 원곡면 경부고속도로 365 안성(부산)휴게소,28974,41,338,12,임대,19540,10682
경부선,안성(서울),경기 안성시 원곡면 경부고속도로 372 안성(서울)휴게소,85692,123,208,17,임대,18381,10365
경부선,양산(서울),경남 양산시 동면 목장길 15-50 양산(서울)휴게소,35779,35,136,6,임대,4723,2616
경부선,언양(서울),울산시 울주군 언양읍 경부고속도로44 언양(서울)휴게소,50123,75,152,9,임대,6074,3933
경부선,옥산(부산),충북 청주시 흥덕구 옥산면 경부고속도로309옥산(부산)휴게소,31782,108,121,11,임대,7753,5863
경부선,옥천(부산),충북 옥천군 옥천읍 서대구일로 265-19 옥천(부산)휴게소,42360,70,71,4,임대,6096,2023
경부선,옥천(서울),충북 옥천군 옥천읍 옥천동이로 242-34 옥천(서울)휴게소,45053,44,99,4,임대,3277,1760
경부선,옥천만남,충북 옥천 옥천 중앙로 135,36248,120,87,5,민자,660,803
경부선,입장거봉포도(서울),충남 천안 서북 입장 연곡길407입장(서울)휴게소,83344,198,142,10,임대,30425,6446
경부선,죽암(부산),충북 청주시 서원구 현도면 경부고속도로 289 죽암(부산)휴게소,26607,28,199,8,임대,15986,7261
경부선,죽암(서울),충북 청주시 서원구 현도면 경부고속도로 290 죽암(서울)휴게소,15809,21,173,14,임대,7292,4902
경부선,죽전(서울),경기 용인시 수지구 경부고속도로 400 죽전(서울)휴게소,28982,145,68,8,임대,18253,10511
경부선,천안삼거리(서울),충남 천안시 동남구 쉼1길42 천안삼거리(서울)휴게소,19003,23,236,12,임대,19488,6883
경부선,천안호두(부산),충남 천안시 동남구 수신면 성남로 793-40 천안(부산)휴게소,9661,57,150,8,임대,10964,5862
경부선,청주(서울),충북 청주시 흥덕구 옥산면 경부고속도로318 청주(서울)휴게소,23402,153,118,11,임대,4511,4226
경부선,추풍령(부산),경북 김천시 봉산면 경부고속도로 213 추풍령(부산)휴게소,14456,88,120,5,임대,4571,2556
경부선,추풍령(서울),경북 김천시 봉산면 경부고속도로 214-1 추풍령(서울)휴게소,28455,60,95,5,임대,4515,2198
경부선,칠곡(부산),경북 칠곡 왜관 경부고속도로 159칠곡(부산)휴게소,23096,128,189,11,임대,9822,6186
경부선,칠곡(서울),경북 칠곡군 왜관읍 경부고속도로 158칠곡(서울)휴게소,41787,65,158,8,임대,16447,6584
경부선,통도사(부산),경남 양산시 하북면 경부고속도로 31-1 통도사(부산)휴게소,20861,30,215,6,임대,6357,3651
경부선,평사(부산),경북 경산 진량 경부고속도로 105평사(부산)휴게소,43867,66,170,7,임대,7748,2918
경부선,황간(부산),충북 영동군 황간면 회포길 102 황간(부산)휴게소,43386,54,61,3,임대,2661,1550
경부선,황간(서울),충북 영동군 황간면 회포1길 65 황간(서울)휴게소,32652,35,77,4,임대,3623,1457
남해선,문산(순천),경남 진주시 문산읍 남해고속도로 195문산(순천)휴게소,46794,46,179,7,임대,9970,3219
남해선,보성녹차(순천),전남 보성군 겸백면 남해고속도로70 보성녹차(광양)휴게소,27412,30,80,3,임대,4036,2187
남해선,보성녹차(영암),전남 보성군 미력면 남해고속도로63 보성녹차(목포)휴게소,41433,14,57,3,임대,5086,2380
남해선,사천(부산),경남 사천시 곤양면 서삼로 619 사천(부산)휴게소,21205,45,129,4,임대,4834,2599
남해선,사천(순천),경남 사천시 곤양면 묵실길 31-11 사천(순천)휴게소,30117,45,143,4,임대,4927,2756
남해선,섬진강(부산),전남 광양시 진월면 섬진강 매화로 141 섬진강(부산)휴게소,18130,27,168,6,임대,6749,3062
남해선,섬진강(순천),전남 광양시 진월면 신답길 24-14 섬진강(순천)휴게소,15454,35,149,6,임대,6320,3080
남해선,장흥정남진,전남 장흥군 부산면 남해고속도로 41,26955,32,78,6,임대,,1016
남해선,진영(부산),경남 김해시 진영읍 하계로 96번길 94-4 진영(부산)휴게소,78720,53,520,29,민자,,5724
남해선,진영(순천),경남 김해시 진영읍 하계로 96번길 68 진영(순천)휴게소,47678,68,345,20,임대,10831,5792
